index	premise	hypothesis	gold_label	number of correct responses (out of 100)
2275	Until all members of our society are afforded that access, this promise of our government will continue to be unfulfilled.	The promise of our government is met regardless if everyone can afford that access	contradiction	100
2276	The first historical mention of Agra is in 1501, when Sultan Sikandar Lodi made it his capital.	Agra still exists to this day as a capital.	neutral	84
2277	Possibly, but strychnine is a fairly rapid drug in its action. 	Strychnine is a very fast moving water current. 	contradiction	90
2278	This tourist heartland is also home to 100,000 Jamaicans who live in the hills surrounding the town.	Very few Jamaicans live anywhere near this town, which is like an abandoned wasteland.	contradiction	100
2279	The Implementation of National and European Legislation Concerning Air Emissions from Large Combustion Plants in Germany	European legislation does not address German air emissions.	contradiction	100
2280	Catch up on the Indian avant-garde and the bohemian people of Caletta at the Academy of Fine Arts on the southeast corner of the Maidan.	In South-Eastern Maidan you will find the Academy of Fine Arts.	entailment	41
2281	did oh they're they are everywhere they	They are only in one area.	contradiction	100
2282	um-hum yeah we're still pretty much you know in winter as far as that goes here	It has been winter here for years.	neutral	100
2283	i wish it was as good over here as it is over there but if you're the	I am glad it is better here than over there.	contradiction	97
2284	Together they had a force of 130 attorneys and the responsibility to serve the civil legal needs of about 550,000 poor and vulnerable people throughout the state.	Altogether there were 130 lawyers striving to serve 550,000 vulnerable and less fortunate individuals in the state.	entailment	100
2285	Ca'daan saw confidence flow back into the young man.	Ca'daan saw the man lose all confidence.	contradiction	100
2286	That analysis is guided by an economist's faith in the maxim that people are generally pretty good at looking out for their own interests.	People focus on the good of others 	contradiction	13
2287	Improved products and services   Initiate actions and manage risks to develop new products and services within or outside the organization.	Managed risks lead to new products	entailment	88
2288	His heels clicked together.	His heels did not touch together.	contradiction	100
2289	yeah it's just a matter of education i think	I think how successful someone is just depends on education.	neutral	100
2290	if it had rained any more in the last two weeks instead of planting Saint Augustine grass in the front yard i think i would have plowed everything under and had a rice field	It has rained enough to flood everything here and make rice pattys.	entailment	0
2291	It shows clearly enough that my poor old friend had just found out she'd been made a fool of!	I could see that my friend had been humiliated by the situation. 	entailment	98
2292	Nash showed up for an MIT New Year's Eve party clad only in a diaper.	Nash appeared at a New Year's Eve party with only a diaper.	entailment	100
2293	In fact, you're going to be rewarded.	Sorry, you're going to be fined.	contradiction	100
2294	In fact, you're going to be rewarded.	Indeed, you will get a prize.	entailment	100
2295	Kicked out of the house when she was only 16 (she was called Suzie in those days), Roy went to Delhi and then to architecture school, supporting herself by selling empty milk bottles (some say beer bottles).	Roy had to sell bottles to make money.	entailment	5
2296	Such experience better enables the CIOs to work with business managers to build a shared vision for meeting mission needs.	They are able to have the same vision because of their previous involvement. 	entailment	0
2297	The next year, he built himself a palace, Iolani, which can still be toured in Honolulu.	Lolani was built in only 1 year.	neutral	0
2298	The Celts arrived in the wake of the Roman withdrawal at the end of the fourth century.	The Celts arrived during the Roman withdrawal.	entailment	100
2299	Keep your eyes open for Renaissance details, grand doorways, and views into lovely courtyards.	Pay attention and you will see beautiful Renaissance doorways and courtyards.	entailment	100
2300	And who should decide?	Someone should make the decision.	neutral	7
2301	But it just might be because he's afraid he'll lose his No.	He's definitely not afraid of losing his No.	contradiction	100
